,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,strand,length,exon_length
Fam122b,1007.7256003261699,-1.82383081352479,0.20434189146183698,-8.925388722191679,4.441366847026289e-19,4.586662991021861e-16,chrX,53243414.0,53269805.0,-,26391.0,4334.0
Apex2,1074.17803703546,-2.00976629911179,0.231131522668822,-8.69533621336233,3.4580429482735298e-18,3.33309232974258e-15,chrX,150571506.0,150588149.0,-,16643.0,1885.0
Myo1g,272.477925424044,2.28487381002836,0.268583103019962,8.507139072924241,1.78277644932748e-17,1.61096136902354e-14,chr11,6506547.0,6520958.0,-,14411.0,3307.0
Fmr1,5563.8043097011,-0.9791283051400591,0.115948231976765,-8.44452984273422,3.0527157532635404e-17,2.59624496239319e-14,chrX,68678540.0,68717961.0,+,39421.0,4407.0
Rasgrp4,1584.38622807867,1.2253654834021999,0.147417542239621,8.31220942084641,9.39364589245266e-17,7.54518512850448e-14,chr7,29134932.0,29153955.0,+,19023.0,4630.0
Acsl4,1316.38665841564,-1.29899173391016,0.158276721196395,-8.207092768230469,2.2660848029073797e-16,1.7243712673913098e-13,chrX,142317992.0,142390535.0,-,72543.0,5280.0
Atp2a3,1252.44666074964,2.08120881777338,0.25603606129376394,8.12857691708318,4.3435947047115296e-16,3.03669389349886e-13,chr11,72961168.0,72993043.0,+,31875.0,4606.0
Brca2,4277.76498050072,0.7210210909086869,0.0887223116092217,8.12671669426774,4.41074642159885e-16,3.03669389349886e-13,chr5,150522620.0,150570146.0,+,47526.0,11133.0
Stard8,328.896086187488,-2.61768001364242,0.32503481653413696,-8.053537284266572,8.043488164074871e-16,5.28603417619066e-13,chrX,99042580.0,99074728.0,+,32148.0,4963.0
C77370,1816.8644286675897,-1.49267088574305,0.18828071002897304,-7.927901299678321,2.2288033538736704e-15,1.40104516914372e-12,chrX,104077434.0,104201117.0,-,123683.0,10891.0
Pdk3,1626.5848517786499,-1.52591305084703,0.193816257868121,-7.87298788879368,3.46270185924743e-15,2.0859893117083e-12,chrX,93764615.0,93832095.0,-,67480.0,2000.0
Rbmx,873.345646337708,-1.7075534632898701,0.218410974095704,-7.8180753982702695,5.36370625387903e-15,3.1019386007433195e-12,chrX,57383347.0,57393036.0,-,9689.0,3743.0
Lrch2,702.904390266816,-1.1440589672984098,0.14646201725125,-7.81130144708997,5.66004608196665e-15,3.1474210097336097e-12,chrX,147471693.0,147554081.0,-,82388.0,3616.0
Klf8,2633.28310202145,-1.68482095137728,0.21798855481062196,-7.72894225039002,1.08443851694996e-14,5.80696743631946e-12,chrX,153238044.0,153396134.0,+,158090.0,4457.0
Kctd12b,138.703757626205,-2.3234511802845095,0.30115174524787297,-7.71521738441898,1.20776201304862e-14,6.23636542309179e-12,chrX,153685153.0,153696280.0,-,11127.0,4795.0
Slc25a5,30080.9377609385,-1.10006195114602,0.143537494860642,-7.66393444593729,1.80321958303332e-14,8.98998232120542e-12,chrX,36795596.0,36798808.0,+,3212.0,1295.0
Kdelr3,2047.0325266891198,1.57047039211161,0.20941391522739802,7.4993602521889295,6.413005211395211e-14,3.09064097821173e-11,chr15,79516407.0,79527739.0,+,11332.0,1414.0
Maged1,7990.26983963126,-1.55715514336054,0.20875281102982604,-7.459325389098849,8.69665949289966e-14,4.0560097725272e-11,chrX,94535473.0,94542074.0,-,6601.0,2752.0
Zic3,3990.7149034304102,-1.07044015328739,0.147247635966934,-7.26965934806432,3.60395168071075e-13,1.62831041874113e-10,chrX,58030627.0,58036630.0,+,6003.0,4035.0
Rap2c,1091.94274700185,-1.5105291899976598,0.213793593875917,-7.06536226185686,1.60197517499346e-12,7.01859305456227e-10,chrX,51003913.0,51018018.0,-,14105.0,3543.0
Amer1,987.0946392962101,-1.08411912337699,0.154187926262211,-7.031154446771259,2.04831612250402e-12,8.71016308798916e-10,chrX,95420313.0,95444840.0,-,24527.0,8468.0
Klf17,56.4202576806097,2.90943783348217,0.41718773632952505,6.97392943301691,3.0820872357351297e-12,1.2731662072645302e-09,chr4,117756658.0,117765666.0,-,9008.0,3595.0
Cacnb3,1649.87577758388,0.7975441904636399,0.114435084815837,6.969402712001691,3.1828938865462997e-12,1.27828555032462e-09,chr15,98632327.0,98644536.0,+,12209.0,3015.0
Lrrfip1,1272.74485330837,1.27957990467239,0.18413402767700798,6.94917675355974,3.67423969122406e-12,1.43573398528966e-09,chr1,90998726.0,91128944.0,+,130218.0,5743.0
Hmha1,522.924760379234,1.8666675859672202,0.27444646990717103,6.80157258571628,1.03483236037842e-11,3.93726480693451e-09,chr10,80016671.0,80031471.0,+,14800.0,4052.0
Misp,134.269321582517,2.90956176418328,0.42839108647242097,6.791835442100379,1.1071579708591698e-11,4.1044333186364006e-09,chr10,79821020.0,79830452.0,+,9432.0,2427.0
Tmc8,282.59734790284404,1.1202323554028102,0.16946907689381,6.6102463997296,3.8368086679800795e-11,1.3868144930414e-08,chr11,117782296.0,117793137.0,+,10841.0,2908.0
Tab3,1930.9843623952802,-1.21195815682577,0.184223788553327,-6.578727787236559,4.7449053528011297e-11,1.67321564855607e-08,chrX,85574021.0,85634469.0,+,60448.0,6364.0
Duox1,95.410606215304,3.54779087651688,0.540817531890205,6.56005152813193,5.3789188115467504e-11,1.85162876612721e-08,chr2,122315671.0,122347972.0,+,32301.0,5267.0
AU015836,1517.5765273995,-2.8256572835208194,0.431011969816048,-6.55586731089344,5.5319404112809e-11,1.86001847596045e-08,chrX,93968655.0,93975470.0,+,6815.0,3000.0
Plk5,377.41813642159104,2.18867918525756,0.33435983646614803,6.54587945845927,5.914627413197079e-11,1.94349279863644e-08,chr10,80356458.0,80365489.0,+,9031.0,2112.0
Mxra8,279.253945589146,1.41620239889267,0.217454974855849,6.51262358946478,7.38494070064518e-11,2.37269939222062e-08,chr4,155839679.0,155844102.0,+,4423.0,2263.0
Nrbp2,456.169519823504,1.3501931952206299,0.212681873110746,6.348416888907,2.17541908156006e-10,6.72916917535812e-08,chr15,76085593.0,76090013.0,-,4420.0,2496.0
Dmd,2257.55879326443,-1.6548367143971698,0.260704234365606,-6.34756362290787,2.1875152250783803e-10,6.72916917535812e-08,chrX,82948869.0,85205050.0,+,2256181.0,13852.0
Trap1a,9386.78011142922,-1.6885996417117102,0.268020072064952,-6.300273067990579,2.9712172632027904e-10,8.94955399820541e-08,chrX,139333682.0,139338165.0,+,4483.0,1174.0
Tjp3,659.059473724903,1.10559434613645,0.17680890238290303,6.25304682759773,4.02521379664253e-10,1.146139273546e-07,chr10,81273187.0,81291581.0,-,18394.0,3342.0
Rbm41,838.404473075401,-0.9264397368613979,0.148167187079668,-6.25266467644594,4.03507904404533e-10,1.146139273546e-07,chrX,139889510.0,139998595.0,-,109085.0,6759.0
Hpn,90.87855713631029,2.5204146526374998,0.403114123384675,6.2523600797593,4.04295911957713e-10,1.146139273546e-07,chr7,31098724.0,31115326.0,-,16602.0,2001.0
Rps6ka6,3665.7495427103004,-0.997786593375764,0.159973632376244,-6.23719408351658,4.45489146733784e-10,1.23863116989943e-07,chrX,111387836.0,111537959.0,-,150123.0,4683.0
Zfx,1775.81253655362,-1.0267870554217602,0.164934887416029,-6.225408532470231,4.80302802121826e-10,1.31022979492026e-07,chrX,94074630.0,94123407.0,-,48777.0,7002.0
Vbp1,6343.326608310849,-0.7804076062954519,0.127008027257693,-6.144553404581621,8.01888079211419e-10,2.14698108319235e-07,chrX,75514296.0,75534946.0,+,20650.0,1601.0
Slc17a7,176.190513434247,2.21308220818936,0.36396375220891,6.08050168391243,1.19807094034339e-09,3.1494017555426897e-07,chr7,45163920.0,45176139.0,+,12219.0,2940.0
Xiap,3399.386172602,-0.8692192282829558,0.143819151072353,-6.04383506509274,1.50493359503719e-09,3.8854160566156503e-07,chrX,42067835.0,42109664.0,+,41829.0,7202.0
Atp7a,1150.24007356247,-0.6582243810494051,0.10923222164721198,-6.025917729434051,1.6815270750330899e-09,4.2590627300515204e-07,chrX,106027223.0,106128160.0,+,100937.0,8198.0
Kcnh3,545.9441954142691,1.15099548155174,0.191089345329838,6.023336777699551,1.70857406517491e-09,4.2590627300515204e-07,chr15,99224975.0,99242817.0,+,17842.0,3583.0
Dapk1,2243.0981972866102,0.8059367446355942,0.133953610238256,6.016536196390059,1.78188669014619e-09,4.3665284349378995e-07,chr13,60601946.0,60763191.0,+,161245.0,5940.0
Arxes2,535.383420891347,-1.3610023154401898,0.22862915723553198,-5.952881652964719,2.6346181807736102e-09,6.34855160960414e-07,chrX,135993819.0,135995359.0,+,1540.0,1540.0
Tgfb1,301.523987688057,1.56627362089741,0.263381330514928,5.946790601426599,2.73450856483588e-09,6.481233578753629e-07,chr7,25687001.0,25704996.0,+,17995.0,2094.0
Gpc3,3231.0008213564697,-2.2796799018171496,0.384074718850372,-5.93551147714376,2.92930830385707e-09,6.830957976962171e-07,chrX,52272426.0,52613974.0,-,341548.0,2268.0
Ydjc,769.8276716060981,0.9165112466493629,0.157033427209874,5.836408610151861,5.33379966487587e-09,1.22406469134564e-06,chr16,17146966.0,17148857.0,+,1891.0,1320.0
Mcts1,1306.8288886817402,-0.8810654467527049,0.151405724861266,-5.81923469247963,5.9117678146112e-09,1.33550529786951e-06,chrX,38600657.0,38613522.0,+,12865.0,876.0
Bex4,3316.04067365013,-1.7410690716240502,0.29992597795792103,-5.8049958975821605,6.43675799504282e-09,1.4317330321896799e-06,chrX,136139044.0,136140437.0,+,1393.0,782.0
Slc25a14,251.85007747896802,-1.75809653298845,0.305524619104553,-5.754353080092749,8.69742071554147e-09,1.9052622531105801e-06,chrX,48623577.0,48662298.0,+,38721.0,1866.0
2010204K13Rik,451.79051823276296,-1.1134969923698101,0.194415350212786,-5.7274129391074,1.01973739629319e-08,2.20050198143386e-06,chrX,7411816.0,7422988.0,-,11172.0,946.0
Mbnl3,144.69836678188102,-1.4465919902790298,0.253340367730822,-5.710072986931389,1.1292773349149199e-08,2.38999750201781e-06,chrX,51113493.0,51205832.0,-,92339.0,8671.0
Fam132a,238.58480920214902,1.45649856729413,0.255151264737046,5.708372908890589,1.14061300068632e-08,2.38999750201781e-06,chr4,155962311.0,155966629.0,+,4318.0,1321.0
Zc4h2,381.414603849148,-1.4782314041444098,0.259525052200357,-5.695910246858151,1.2271542507171001e-08,2.53459945098112e-06,chrX,95639193.0,95658509.0,-,19316.0,2256.0
Mapk8ip2,1042.40328429809,1.0926307537437199,0.19245356259717103,5.6773734868744805,1.3677861647370499e-08,2.78527498165751e-06,chr15,89453910.0,89462447.0,+,8537.0,3539.0
Nhsl2,201.116786855503,-2.9978919986131096,0.5306703936350999,-5.64925429149629,1.61145332714e-08,3.1975561131955003e-06,chrX,101849384.0,102092055.0,+,242671.0,12971.0
Hccs,1833.56136677975,-0.655653497178535,0.11606681426268901,-5.648931620494221,1.61448053854801e-08,3.1975561131955003e-06,chrX,169311530.0,169320343.0,-,8813.0,2382.0
Fundc1,895.7038049310049,-0.9598034973375908,0.170253164758486,-5.63750752415751,1.72529069000639e-08,3.37084497244762e-06,chrX,17556568.0,17572297.0,-,15729.0,1950.0
Bin2,794.7603720799519,0.9893780838175028,0.17562858553442803,5.63335450665322,1.76737627615191e-08,3.4070301600805696e-06,chr15,100641081.0,100669500.0,-,28419.0,1978.0
Pde4c,197.75838501028701,1.45092264356276,0.258831141571069,5.60567262021047,2.0744775087972302e-08,3.94642050291979e-06,chr8,70724063.0,70751176.0,+,27113.0,3193.0
Ndrg2,1393.5757080145902,1.16502251592054,0.207953168642626,5.60233115717831,2.1148800909151798e-08,3.97103069538333e-06,chr14,51905270.0,51913488.0,-,8218.0,2157.0
Brwd3,1640.71961266168,-0.8352381071966941,0.15103774980175,-5.52999570169058,3.2023863442187596e-08,5.93591048265575e-06,chrX,108742207.0,108834355.0,-,92148.0,6434.0
Slc29a4,868.3973029052349,0.8236383401646089,0.15048634262795998,5.473176673585909,4.42039017684333e-08,8.051692276992909e-06,chr5,142702100.0,142722490.0,+,20390.0,2789.0
Map4k2,1092.2820023136098,0.6556947337883579,0.11983193297208698,5.471786338797441,4.4552177490623394e-08,8.051692276992909e-06,chr19,6341159.0,6355619.0,+,14460.0,4724.0
Marveld2,129.397204908983,1.33837058565112,0.24495306352169896,5.46378382213032,4.66091094709171e-08,8.31943833000641e-06,chr13,100595956.0,100616971.0,-,21015.0,3382.0
Mospd1,224.385352449907,-1.55534503876111,0.285173103888902,-5.45403832812732,4.92385816460228e-08,8.68160260290486e-06,chrX,53344593.0,53370559.0,-,25966.0,2247.0
Micall1,736.3754601125611,0.8899296042831499,0.163503584281799,5.44287520174087,5.24273783760708e-08,9.13247032001484e-06,chr15,79108982.0,79136901.0,+,27919.0,6694.0
Thsd1,146.267754427638,1.15172868402226,0.212937455880428,5.40876511959923,6.34607919044126e-08,1.09228110637381e-05,chr8,22227302.0,22261332.0,+,34030.0,4430.0
Sept10,1044.3348653439698,0.711978620590377,0.13221263050874602,5.38510290469774,7.240321310450099e-08,1.2315360647822099e-05,chr10,59141626.0,59221847.0,-,80221.0,2654.0
Fbxo44,632.459066838316,1.20370852933702,0.22403429138369998,5.37287627667433,7.74905011048299e-08,1.3027414708995698e-05,chr4,148152798.0,148160094.0,-,7296.0,2150.0
Usp26,216.164508762545,-2.10947389257512,0.396129171973787,-5.32521723170317,1.0083246204152401e-07,1.6756732599958098e-05,chrX,51753958.0,51801233.0,-,47275.0,4133.0
Mgat5b,487.583212771732,1.1725582060706101,0.22032081571152698,5.32204913223394,1.0260484932023401e-07,1.68575103576358e-05,chr11,116918862.0,116986944.0,+,68082.0,4254.0
Uprt,45.8963156223288,-2.9168400335760296,0.5485969544120021,-5.316908907564691,1.05544872670155e-07,1.71457052703944e-05,chrX,104482781.0,104506262.0,+,23481.0,1112.0
Palm,1266.65952596625,0.7218799168876942,0.136025568260213,5.30694284994095,1.11479110778664e-07,1.79084998181992e-05,chr10,79793571.0,79820896.0,+,27325.0,2651.0
Chrnb1,246.03653888721803,1.69812243045023,0.32100147208375,5.29007676951458,1.22265030026992e-07,1.9425360484947798e-05,chr11,69784035.0,69795937.0,-,11902.0,2149.0
2210013O21Rik,672.488098416473,-1.38490483978665,0.262101768714885,-5.28384393045874,1.26501032012329e-07,1.9879912182980898e-05,chrX,153723553.0,153741296.0,+,17743.0,856.0
4933407K13Rik,246.31759146299402,-1.40274139871979,0.266304795266591,-5.267428238817639,1.38348214751424e-07,2.14625474887419e-05,chrX,75725457.0,75764699.0,-,39242.0,3376.0
Atp6v0a4,332.778050134328,2.1106370128210603,0.40094179892542203,5.26419799202241,1.4080264703246602e-07,2.14625474887419e-05,chr6,38048482.0,38124586.0,-,76104.0,3285.0
Mageh1,331.369665869814,-1.77754892567314,0.3377189853239261,-5.26339650099384,1.4141813350828e-07,2.14625474887419e-05,chrX,153036165.0,153037563.0,-,1398.0,1398.0
Dlg3,1506.38136557011,-1.35510976343842,0.25752832457933605,-5.2619833785349694,1.4250965271263098e-07,2.14625474887419e-05,chrX,100767721.0,100818410.0,+,50689.0,5637.0
Vma21,1296.64455546917,-0.9972722386880308,0.19118145723920602,-5.21636487706152,1.82468571883073e-07,2.71972228070667e-05,chrX,71816079.0,71824706.0,+,8627.0,4806.0
Efnb1,411.98040313236504,-2.7160318165854704,0.5215709678005189,-5.20740605643574,1.91498733204882e-07,2.82519253538386e-05,chrX,99136060.0,99149022.0,+,12962.0,3358.0
Icosl,1048.84252548866,0.7002259932061731,0.134654155484465,5.20018109123233,1.99094450432806e-07,2.90758339834091e-05,chr10,78069367.0,78079525.0,+,10158.0,2748.0
Prss50,326.096210402153,1.25466977301899,0.241965651801554,5.18532181604021,2.1564217322597998e-07,3.11775454050122e-05,chr9,110857966.0,110864628.0,+,6662.0,1455.0
Phf6,1575.50747618299,-1.1884879177618402,0.229515746107554,-5.178241309879009,2.2398738987368898e-07,3.2063462205879196e-05,chrX,52912213.0,52956961.0,+,44748.0,4420.0
Dpp4,941.680701659655,1.2185791365453,0.237395780246336,5.133112034598231,2.84990145386311e-07,4.0395956097993e-05,chr2,62330072.0,62412231.0,-,82159.0,6301.0
Lppr3,87.34824735553619,1.73615453329647,0.33965005925878994,5.11159791075921,3.1944518583937103e-07,4.4840179581219704e-05,chr10,79860474.0,79874634.0,-,14160.0,4275.0
Abcb7,3725.4856912908003,-1.12322690271899,0.220108496053962,-5.103060185571491,3.34204656997701e-07,4.64608743353151e-05,chrX,104280564.0,104413846.0,-,133282.0,5759.0
Gpc4,2237.9544000524497,-1.35263495961341,0.266030177325027,-5.084517001846749,3.6856275480753797e-07,5.07096772803185e-05,chrX,52053017.0,52164923.0,-,111906.0,2325.0
Inf2,739.0401623299499,0.819768036237486,0.161280672390763,5.08286593852542,3.71782113135548e-07,5.07096772803185e-05,chr12,112588783.0,112615557.0,+,26774.0,4601.0
Rab39b,61.739971695477706,-2.4375538926200697,0.47988671956135703,-5.07943602783617,3.78556967946131e-07,5.11511835753754e-05,chrX,75572044.0,75578231.0,-,6187.0,3402.0
Rbmx2,1211.93693952348,-1.06498263175174,0.209932288968326,-5.07298156460542,3.9163045371078e-07,5.2427713886578397e-05,chrX,48695003.0,48710719.0,+,15716.0,1743.0
Ppl,122.23321533238001,1.6078720255764898,0.32069981050903196,5.0136357206585,5.341106209762299e-07,7.04853905287308e-05,chr16,5086290.0,5132481.0,-,46191.0,6277.0
Rab27a,823.270114158887,1.1442126906519698,0.228255480317934,5.01285966522341,5.36270089788379e-07,7.04853905287308e-05,chr9,73044809.0,73097614.0,+,52805.0,3441.0
Fgd1,8959.875701650592,-1.25827381587716,0.25165589529578397,-4.999977506579951,5.73370030332659e-07,7.468273782477109e-05,chrX,151047169.0,151089686.0,+,42517.0,4166.0
Firre,4005.76904583188,-1.84031933133721,0.3682769855850829,-4.9971065349454005,5.819692098797671e-07,7.51259896110864e-05,chrX,50563119.0,50635321.0,-,72202.0,5815.0
Cntfr,255.181119318271,1.36651935078013,0.274105886652201,4.98537031608532,6.18432485844174e-07,7.912652106491221e-05,chr4,41657497.0,41697091.0,-,39594.0,2267.0
Fzd5,5878.72757454167,0.527558285006235,0.10586997946332598,4.9830772394641505,6.25809548270123e-07,7.93680214814864e-05,chr1,64730557.0,64737750.0,-,7193.0,6914.0
Prkx,1262.88409054071,-0.9312313921069441,0.187039296499323,-4.9788007629205095,6.39794615232495e-07,8.04360917133167e-05,chrX,77762029.0,77795960.0,-,33931.0,3209.0
Dab1,438.669447737289,0.876211505938428,0.176961720547146,4.95141832498734,7.367453992326879e-07,9.18121955735478e-05,chr4,104367537.0,104744844.0,+,377307.0,5881.0
Susd5,44.5915758383661,2.0818709597011598,0.42059884868156605,4.94977807530172,7.42981524561149e-07,9.18121955735478e-05,chr9,114057353.0,114098733.0,+,41380.0,3874.0
Glis3,244.956225326427,-1.4095431500036397,0.28492370553519897,-4.94708977393075,7.53312396192393e-07,9.229992054364079e-05,chr19,28258850.0,28680077.0,-,421227.0,7514.0
Urgcp,423.174916634179,-0.9708355129397221,0.197685087283554,-4.9110204835389695,9.06036217685269e-07,0.000110079593573896,chr11,5713416.0,5762376.0,-,48960.0,5611.0
Doc2a,152.99713994045,1.2799048538651001,0.26152390412639104,4.894026257907719,9.879364880026208e-07,0.00011902988119618201,chr7,126847552.0,126852705.0,+,5153.0,2538.0
Tbc1d8b,210.468141217788,-1.71606961344327,0.351260384551828,-4.88546300384199,1.03186080962725e-06,0.000123294575087528,chrX,139684995.0,139754218.0,+,69223.0,5907.0
Apln,44.75365972842629,-2.07494826447783,0.4255152301584289,-4.87631961776144,1.08083431753092e-06,0.000128087725925099,chrX,48025145.0,48034852.0,-,9707.0,3148.0
Nkrf,1982.9183003043,-0.973291223678933,0.19992667340672102,-4.86824097602482,1.12595980191027e-06,0.000131519789217989,chrX,36887541.0,36902899.0,-,15358.0,3266.0
Cd164l2,92.80551106377041,1.6291193486025801,0.33466675641894106,4.86788519431917,1.12798823233024e-06,0.000131519789217989,chr4,133220808.0,133224554.0,+,3746.0,986.0
4930502E18Rik,53.573828192483994,-3.19291847786663,0.657552592937919,-4.85576136746841,1.19925055202544e-06,0.000137821364248918,chrX,53724830.0,53738222.0,+,13392.0,1203.0
Arhgef16,381.164222558233,0.9823202758662299,0.20231266449105803,4.8554561739245194,1.2010991766056002e-06,0.000137821364248918,chr4,154278469.0,154299895.0,-,21426.0,2717.0
Cul4b,23214.2124517409,-1.38423769457008,0.28788367242270696,-4.80832303868059,1.52201675750632e-06,0.000173270222677374,chrX,38531620.0,38576196.0,-,44576.0,5056.0
Cpt1a,5692.9620888804,0.539660571412073,0.112416100373218,4.800562994272309,1.58220194816346e-06,0.000178714654426151,chr19,3323300.0,3385733.0,+,62433.0,4301.0
Pdzd11,2585.92995775447,-1.30975321657651,0.27348415968224304,-4.78913739683604,1.6749976984649402e-06,0.000187228864663502,chrX,100622905.0,100625907.0,-,3002.0,1015.0
Cr1l,826.3770914281309,-0.5903258272483111,0.123289597630035,-4.78812356107892,1.6834799008338101e-06,0.000187228864663502,chr1,195103787.0,195131570.0,-,27783.0,1662.0
Ift22,309.08907550525004,-0.8569373327249971,0.179446503823024,-4.77544735878576,1.7930819315498699e-06,0.000197896019590443,chr5,136908149.0,136913244.0,+,5095.0,911.0
Acadl,1076.2550205194802,0.620643233450679,0.13001648756878098,4.77357329871221,1.80985635302337e-06,0.000198234114787969,chr1,66830838.0,66863309.0,-,32471.0,1948.0
Mum1l1,119.10117878098801,-2.3033756178763,0.482717685817555,-4.7716826740565494,1.82693178631179e-06,0.00019859984786838999,chrX,139210043.0,139238335.0,+,28292.0,4810.0
Timm8a1,637.5894096740831,-1.06666538211767,0.22376335813735998,-4.76693499327484,1.8704962818429198e-06,0.000200646970633211,chrX,134537257.0,134541629.0,-,4372.0,1183.0
Rlim,3778.1285475175605,-1.7683590933502,0.37098887408995,-4.76660950463287,1.87351923056325e-06,0.000200646970633211,chrX,103957166.0,103981284.0,-,24118.0,7435.0
Rpl36a,24800.637903516697,-0.436058104947894,0.0920371240142005,-4.7378501840258895,2.15997397191662e-06,0.00022962429180860698,chrX,134585653.0,134588062.0,+,2409.0,489.0
Spint2,5699.15910530829,0.677872360110291,0.14331560151389497,4.72992718831499,2.24600375380711e-06,0.000237027169872579,chr7,29256329.0,29281977.0,-,25648.0,1460.0
Slfn5,59.6599101574631,2.64336671658637,0.5600636936222629,4.7197608891413,2.36122033660445e-06,0.00024725116097548997,chr11,82952101.0,82964850.0,+,12749.0,5989.0
Gcnt4,251.93592115356898,1.04773617992846,0.22205335105790197,4.7183984161322305,2.37708613747359e-06,0.00024725116097548997,chr13,96924688.0,96950914.0,+,26226.0,5095.0
Cldn6,1338.76594924815,1.3449018402302502,0.285341330255657,4.71330893083471,2.43726257657774e-06,0.000251699588086864,chr17,23679364.0,23682446.0,+,3082.0,1506.0
Ccdc160,494.682135980627,-1.96581279606094,0.41802317454686,-4.70264070453006,2.56818120164681e-06,0.000263338750449713,chrX,52791199.0,52799468.0,+,8269.0,1536.0
Dcaf12l1,1269.57499147456,-2.3466798374069,0.49926243688302,-4.700293200621339,2.59788220698917e-06,0.000264508316539785,chrX,44786566.0,44790197.0,-,3631.0,3534.0
Ccdc106,314.985628062805,1.3945464874813798,0.29719840830801597,4.692308062552191,2.7013993678994097e-06,0.0002731246997279,chr7,5056151.0,5060784.0,+,4633.0,2093.0
Abcg1,169.351890351218,1.23059327372101,0.26279927541305803,4.68263571802779,2.83209553944724e-06,0.000284350259092557,chr17,31057693.0,31117981.0,+,60288.0,5818.0
Slc7a3,8793.864515823108,-1.01640929068672,0.217171422525175,-4.68021657209016,2.86572032597289e-06,0.00028574196188217997,chrX,101079209.0,101085405.0,-,6196.0,2416.0
Pfkfb1,598.578197354132,-1.8316888910657,0.392482476637109,-4.666931646885451,3.05730980220421e-06,0.000302757432330606,chrX,150589920.0,150643878.0,+,53958.0,1739.0
Nod1,2987.0502678457897,-0.836194462999434,0.179399323512082,-4.6610792428273395,3.14555576557528e-06,0.00030937717863052596,chr6,54923941.0,54972612.0,-,48671.0,4415.0
Tfap2c,2373.82343142946,-1.3584451569602098,0.291533342187964,-4.65965623954039,3.16737903577587e-06,0.000309418689859781,chr2,172549592.0,172558621.0,+,9029.0,3068.0
Sgcb,294.99107240254904,0.901607359428605,0.19374760281483497,4.65351491491882,3.26323987475076e-06,0.000316643772544607,chr5,73632748.0,73647731.0,-,14983.0,3727.0
Tmsb4x,6841.0208783730395,-1.2934920648088701,0.278400082193112,-4.6461626541892995,3.3816640798966703e-06,0.00032594732844764,chrX,167207093.0,167209218.0,-,2125.0,670.0
Scn3a,326.360967104371,-1.08885580101699,0.234472377799883,-4.64385532843574,3.41967063609344e-06,0.000327427801699596,chr2,65457117.0,65567492.0,-,110375.0,9560.0
Atp13a2,1258.63737392142,0.639196352872786,0.137695148313565,4.642112381600981,3.44865189951755e-06,0.000328030323442268,chr4,140986872.0,141007701.0,+,20829.0,4327.0
Ids,1045.2617015802198,-1.24197097983152,0.26785615155047,-4.63670881793246,3.54000548141996e-06,0.000334518949348822,chrX,70343069.0,70365085.0,-,22016.0,4972.0
Impad1,3244.36573511201,-0.5585636771679721,0.12055246756429,-4.63336577387014,3.59768055987696e-06,0.000337761464511046,chr4,4764350.0,4793306.0,-,28956.0,4627.0
